"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0yLdNVWF3Srea0uzk55zFn","Flowers","spotify:artist:5YGY8feqx7naU7z4HrwZM6","Miley Cyrus","spotify:album:7I0tjwFtxUwBC1vgyeMAax","Flowers","spotify:artist:5YGY8feqx7naU7z4HrwZM6","Miley Cyrus","2023-01-13","https://i.scdn.co/image/ab67616d0000b273f429549123dbe8552764ba1d","1","1","200454","https://p.scdn.co/mp3-preview/9fbe346e805ed219204f53324f94557ab557b6d3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","98","USSM12209777","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-03-17T14:15:33Z"
"spotify:track:6KExHY2Eo0DphK63s2dfYi","Nerdy","spotify:artist:62T5PGHWJ9sxP2SJq20IHq","PURPLE KISS","spotify:album:7EDCoH5wfSGYdZ7wXCmTF4","Geekyland","spotify:artist:62T5PGHWJ9sxP2SJq20IHq","PURPLE KISS","2022-07-25","https://i.scdn.co/image/ab67616d0000b2730b479d89335fbca7de943443","1","2","178346","https://p.scdn.co/mp3-preview/ed3735d4eebb5700d8751b2418c59603dc7a0813?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","KRA382206344","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-03-17T20:03:03Z"
"spotify:track:7MONmJafc7senaIZE3ulWv","KISS","spotify:artist:6BgYuNomEs12UIrnxhWE9a","TRI.BE","spotify:album:6ORQnWLnQLERhWhA3ON2Z5","LEVIOSA","spotify:artist:6BgYuNomEs12UIrnxhWE9a","TRI.BE","2022-08-09","https://i.scdn.co/image/ab67616d0000b27303611decaac95320f5549cec","1","1","185026","","false","58","KRUM72200378","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-03-18T02:03:03Z"
"spotify:track:2bnJ8IxZnVc2YmUaX0sZap","JIKJIN","spotify:artist:3KonOYiLsU53m4yT7gNotP","TREASURE","spotify:album:17l09k7ZDb4GYwmsIVGcRZ","THE SECOND STEP : CHAPTER ONE","spotify:artist:3KonOYiLsU53m4yT7gNotP","TREASURE","2022-02-15","https://i.scdn.co/image/ab67616d0000b27328be5dc3cc0bd6f2482c1d56","1","1","184117","https://p.scdn.co/mp3-preview/6eb43d5c5dc4738a555b795b709b824eda8189bb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","KRA402100149","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-03-18T02:04:58Z"
"spotify:track:59WDxA3UxKvJDIJcK6dVZv","Gasoline","spotify:artist:6XXKPxRX2WWPPtfodzpc2v","KEY","spotify:album:1STTad4531T7StJ4EiVwAG","Gasoline - The 2nd Album","spotify:artist:6XXKPxRX2WWPPtfodzpc2v","KEY","2022-08-30","https://i.scdn.co/image/ab67616d0000b273b7e8b974505dd44161e2762f","1","1","191906","https://p.scdn.co/mp3-preview/f2b9bfcf8b2a008f6061f7cf81557fc9494363c6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","KRA302200162","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-03-18T02:05:30Z"
"spotify:track:3QwiidVHfeE9y5jl4n2MTC","_WORLD","spotify:artist:7nqOGRxlXj7N2JYbgNEjYH","SEVENTEEN","spotify:album:15pRJdCJtDyzQaY9tGs750","SEVENTEEN 4th Album Repackage 'SECTOR 17'","spotify:artist:7nqOGRxlXj7N2JYbgNEjYH","SEVENTEEN","2022-07-18","https://i.scdn.co/image/ab67616d0000b273c31e3f3a15f96cfc4c8f7b7a","1","2","178453","https://p.scdn.co/mp3-preview/740b4182ddf76e4f2aa25b12a6a475d92879fb30?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USA2P2212522","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-03-18T02:05:38Z"
"spotify:track:7cHXwaBnIBFUPuP376z07E","Flip That","spotify:artist:52zMTJCKluDlFwMQWmccY7","LOONA","spotify:album:7odJeHxR62PWP4Cms4GpwB","Summer Special [Flip That]","spotify:artist:52zMTJCKluDlFwMQWmccY7","LOONA","2022-06-20","https://i.scdn.co/image/ab67616d0000b2735fe0013ebb4022adc0f042be","1","2","177373","https://p.scdn.co/mp3-preview/41ea9581f232ecf0b597cb39ce7db6feb169f5ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","KRA252201148","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-03-18T02:05:45Z"
"spotify:track:6M0njKf2lLXtFwB6XhFUgc","LOVE","spotify:artist:4TnGh5PKbSjpYqpIdlW5nz","MONSTA X","spotify:album:6C3GKy7qCRTqqPqq04AKcu","SHAPE OF LOVE","spotify:artist:4TnGh5PKbSjpYqpIdlW5nz","MONSTA X","2022-04-26","https://i.scdn.co/image/ab67616d0000b273ab1db43ea21d86f036e97a43","1","1","215613","https://p.scdn.co/mp3-preview/a9fd4e1b631120ae5a95314ede693f3f3c89a9f8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","KRMIM2210880","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-03-18T02:06:33Z"
"spotify:track:2oBMZYteeO8DyXV9gDx6Za","Feel My Rhythm","spotify:artist:1z4g3DjTBBZKhvAroFlhOM","Red Velvet","spotify:album:3HgoCO9wWuPcNhz8Ip4C46","‘The ReVe Festival 2022 - Feel My Rhythm’","spotify:artist:1z4g3DjTBBZKhvAroFlhOM","Red Velvet","2022-03-21","https://i.scdn.co/image/ab67616d0000b2738c4a282e84a53c1c8acf129a","1","1","210253","https://p.scdn.co/mp3-preview/1a10a2d214eb53dc0e6a57138d93838fa61b4dfe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","KRA302200057","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-03-18T02:07:03Z"
"spotify:track:1dfsPqH09vnzUWEOsN98Ex","28 Reasons","spotify:artist:2QM5S4yO6xHgnNvF0nbZZq","SEULGI","spotify:album:1t5a29WYbJj83iy3RNICHw","28 Reasons - The 1st Mini Album","spotify:artist:2QM5S4yO6xHgnNvF0nbZZq","SEULGI","2022-10-04","https://i.scdn.co/image/ab67616d0000b2738bc3d61189d95da5f74d7ba7","1","1","189413","https://p.scdn.co/mp3-preview/5c9251e275072c071e5a537ebaf342246b349ee6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","KRA302200212","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-03-18T02:09:47Z"
"spotify:track:5QzjOeD7eXFZpVVyVC7ls2","MOVE","spotify:artist:0DRiXmEOc6dJ6Rug3xi4HZ","TNX","spotify:album:1TgcRUSvCC0QyuMsaiF3M4","WAY UP","spotify:artist:0DRiXmEOc6dJ6Rug3xi4HZ","TNX","2022-05-17","https://i.scdn.co/image/ab67616d0000b2732c309fc88d13218497c0c1d2","1","3","212403","https://p.scdn.co/mp3-preview/a657197686be9ee4cc88cf69075a500ef2869159?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","KRMIM2218166","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-03-18T02:10:05Z"
