"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6mgqTxm6s5Vu11dSNuD4S1","Hush","spotify:artist:3ZZzT0naD25RhY2uZvIKkJ","EVERGLOW","spotify:album:7tMpbKXDLlHPSCoPdF2OBv","HUSH","spotify:artist:3ZZzT0naD25RhY2uZvIKkJ","EVERGLOW","2019-08-19","https://i.scdn.co/image/ab67616d0000b2731f45c1a90e9dcb1c8c72f7a3","1","1","164640","","false","0","KRMIM1914432","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2020-09-12T23:24:04Z"
"spotify:track:2pn8dNVSpYnAtlKFC8Q0DJ","On The Ground","spotify:artist:3eVa5w3URK5duf6eyVDbu9","ROSÉ","spotify:album:5BQcoDfcZ8aBcikYX9B7Ob","R","spotify:artist:3eVa5w3URK5duf6eyVDbu9","ROSÉ","2021-03-12","https://i.scdn.co/image/ab67616d0000b273fdec91537c467efa0cd75e2f","1","1","168085","","false","72","KRA402100040","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2021-09-03T12:44:29Z"
"spotify:track:1Zyd6zQnC6XIIzmg3hP7Ot","As If It's Your Last","spotify:artist:41MozSoPIsD1dJM0CLPjZF","BLACKPINK","spotify:album:6IzQb2kLydYNfzmKXvmndX","As If It's Your Last","spotify:artist:41MozSoPIsD1dJM0CLPjZF","BLACKPINK","2017-06-22","https://i.scdn.co/image/ab67616d0000b273d9ac4a9970da8f98ce2e2b35","1","1","213264","","false","0","KRA401700174","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2020-08-16T12:04:07Z"
"spotify:track:2aI2k39nfa3KFsa4JclQzw","DDU-DU DDU-DU","spotify:artist:41MozSoPIsD1dJM0CLPjZF","BLACKPINK","spotify:album:2zwfcNqJe7IT1RwgVyv1ug","SQUARE UP","spotify:artist:41MozSoPIsD1dJM0CLPjZF","BLACKPINK","2018-06-15","https://i.scdn.co/image/ab67616d0000b27398135e0d2d1675f2b502f01c","1","1","209355","","false","1","KRA401800096","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2020-08-16T12:05:35Z"
"spotify:track:0W5hTAWn8Tq0Qfhg1XP3YW","FANCY","spotify:artist:7n2Ycct7Beij7Dj7meI4X0","TWICE","spotify:album:2qoWlACJtoG0L5owi7Tj0I","FANCY YOU","spotify:artist:7n2Ycct7Beij7Dj7meI4X0","TWICE","2019-04-22","https://i.scdn.co/image/ab67616d0000b2739e87fd81ab0dfad228f8a004","1","1","213880","","false","0","US5TA1900042","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2020-08-16T12:05:46Z"
"spotify:track:2wVDWtLKXunswWecARNILj","SOLO","spotify:artist:250b0Wlc5Vk0CoUsaCY84M","JENNIE","spotify:album:7qAJpYeABXN9ZV5wOOX59k","SOLO","spotify:artist:250b0Wlc5Vk0CoUsaCY84M","JENNIE","2018-11-12","https://i.scdn.co/image/ab67616d0000b27362e6288a5887b95176cca29e","1","1","169566","","false","75","KRA401800139","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2020-08-16T12:06:09Z"
"spotify:track:0jFHMDRXxKaREor3hBEEST","Gashina","spotify:artist:6MoXcK2GyGg7FIyxPU5yW6","SUNMI","spotify:album:3TSX6AxLdCP4E5o3F5jCdN","SUNMI SPECIAL EDITION [Gashina]","spotify:artist:6MoXcK2GyGg7FIyxPU5yW6","SUNMI","2017-08-22","https://i.scdn.co/image/ab67616d0000b273e33d84e471094fe701f06860","1","1","180000","https://p.scdn.co/mp3-preview/7d768c62349ffacbadbd86eedacd95676d873f27?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","KRA381702010","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2020-08-16T12:06:16Z"
"spotify:track:2ezKXygNO30pXyDQXkm6oD","LATATA","spotify:artist:2AfmfGFbe0A0WsTYm0SDTx","(G)I-DLE","spotify:album:1GtPnOiHxCnoZPCiLcKj22","I am","spotify:artist:2AfmfGFbe0A0WsTYm0SDTx","(G)I-DLE","2018-05-02","https://i.scdn.co/image/ab67616d0000b273f8f78670dcb7eb6f7a4405d4","1","1","202772","https://p.scdn.co/mp3-preview/462000d6027a0b254654123e1a3b92c38f48bce9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","KRA391800023","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2020-08-16T12:06:47Z"
"spotify:track:3BPoSr2pO34Aan6alFfVto","BBoom BBoom","spotify:artist:5RR0MLwcjc87wjSw2JYdwx","MOMOLAND","spotify:album:5vt2sEP5J0VNbYXoA7h2k4","GREAT!","spotify:artist:5RR0MLwcjc87wjSw2JYdwx","MOMOLAND","2018-01-03","https://i.scdn.co/image/ab67616d0000b273a5bb4ef1ca42f4378d815c7c","1","1","208863","https://p.scdn.co/mp3-preview/133acd43bc535b487f0ab5a520ae62bd20207b87?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","KRA381702972","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2020-08-16T12:06:49Z"
"spotify:track:3637y6jCSmWGF7c5ov8yED","Guerilla","spotify:artist:2019zR22qK2RBvCqtudBaI","OH MY GIRL","spotify:album:1x2QsojG3m0e0jkLzP1rGr","Queendom < FINAL Comeback >","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2019-10-25","https://i.scdn.co/image/ab67616d0000b273979c32b6f262aebbbbb2bca6","1","4","227386","","false","0","KRA491900999","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2020-08-16T12:08:34Z"
